grace_sku,body_id,neck_finish,shape
GBCylSwrl9RollWht,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9SpryBlk,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9SpryGl,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9SpryMattSl,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9SpryRd,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9SpryShSl,CylSwrl-round-17-415-74x21,17-415,round
GBCylSwrl9SpryTur,CylSwrl-round-17-415-74x21,17-415,round
GBCyl28MtlRollBlk,Cyl-round-na-81x31,,round
GBCyl28MtlRollWht,Cyl-round-na-81x31,,round
GBCyl28RollBlk,Cyl-round-na-81x31,,round
GBCyl28RollWht,Cyl-round-na-81x31,,round
